finding_id	check	severity	raw_label	taxon_ids	labels	n_rows	category	reason
0b858f2dd465	lineage_contradiction	ERROR	cladocera	pzt:000067;pzt:000442	branchiopoda;cladoceramus	2	mislabel_defect	`cladocera` names the crustacean group (Branchiopoda, Arthropoda), which is what global_uvp5 publishes. zoocamnet publishes Genus=cladoceramus, Class=bivalvia, Phylum=mollusca, carrying aphia_ID 105 -- which the committed authority snapshot resolves to the class Bivalvia, not to any genus. Cladoceramus is a bivalve genus whose name merely resembles the label. zoocamnet's images under this folder are published as a mollusc. The most likely wrong side is zoocamnet's; deciding it needs the source's own class list, not this table.
dbb020ae3b2e	lineage_contradiction	ERROR	creseidae	pzt:000459;pzt:000460	clio pyramidata;creseidae	4	mislabel_defect	global_uvp5 publishes Family=creseidae (aphia 411905, accepted, rank Family). The three other rows publish Species=clio pyramidata (aphia 139033) with Family=cliidae. Root cause, established 2026-09-02 by widening the finding-1.7 guard: zooscan carries both readings -- its `Creseidae` folder maps to clio pyramidata while its `Creseidae acicula` folder maps to creseis acicula (family Creseidae) -- and build_tara_pacific_taxonomy.py's `verbatim` rule copied the wrong one into tara_pacific_hsn and tara_pacific_manta on a class-dir name match. One wrong row propagated three times, not three independent judgements. This is one of the two cases in CODE_REVIEW finding 1.6; the other is `harpacticoida`.
95d0c4ebc2b9	lineage_contradiction	ERROR	heterocapsa_triquetra	pzt:001192;pzt:001205	heterocapsa triquetra;kryptoperidinium triquetrum	3	nomenclature_drift	Not a mislabel: the committed authority snapshot has aphia 110153 (`Heterocapsa triquetra`, used by daplankton and syke_ifcb_2022) as status=unaccepted with valid_name `Kryptoperidinium triquetrum`, which is what whoi publishes (aphia 1346683, accepted). All three rows also share NCBI taxid 66468. Same organism, two names; the table is simply not normalized onto the accepted one.
27e2c4048677	lineage_contradiction	ERROR	neoceratium	pzt:001094;pzt:001095	neoceratium;tripos	7	needs_taxonomic_adjudication	Six datasets publish Genus=neoceratium (aphia 494056), zooscan publishes Genus=tripos (aphia 494057). The snapshot has BOTH as accepted WoRMS records with distinct NCBI taxids (665866 vs 2126447) and distinct Qcodes, so on the committed evidence they are not interchangeable and this cannot be closed as nomenclature drift the way `heterocapsa_triquetra` can -- even though the Neoceratium/Tripos history is the obvious candidate explanation. The seam runs inside the Tara Pacific block too: its five `Neoceratium <species>` folders find a `tripos <epithet>` donor and publish Tripos, while its bare `Neoceratium` folder finds the `neoceratium` donor and publishes Neoceratium (see RANK_DEPARTURES in build_tara_pacific_taxonomy.py). The table at large prefers Tripos, 51 rows to 5. Left as a finding rather than dismissed: resolving it needs a taxonomist, or a snapshot refresh that shows one of the two as unaccepted.
4992357fb82e	lineage_contradiction	ERROR	thecosomata	pzt:000453;pzt:000477	cavolinia inflexa;thecosomata	2	rank_treatment	The clash is at Order: global_uvp5 puts `thecosomata` there, uvp6net's Cavolinia inflexa row puts `pteropoda` there. Thecosomata is treated as a suborder of Pteropoda by NCBI (the snapshot gives aphia 13703 rank Order but status=unaccepted with no valid_name, and NCBI 158030 rank suborder), so this is the KI-8 rank-slotting shape rather than two different organisms -- compounded by the inflation from Order to Species.
c374b16ac230	rank_inflation	ERROR	acantharia	pzt:001265;pzt:001268	acantharia;amphibelone	4	rank_inflation_defect	Three datasets publish Class=acantharia; flowcamnet publishes Genus=amphibelone under the same folder name. Amphibelone is within Acantharia, so nothing contradicts -- flowcamnet's images simply claim a genus their folder name does not support.
43cdaf7614a2	rank_inflation	ERROR	actinula	pzt:000352;pzt:000380	hydrozoa;solmundella bitentaculata	2	rank_inflation_defect	`actinula` is a hydrozoan LARVAL STAGE, not a taxon: global_uvp5 publishes it as Class=hydrozoa, which is as far as the label goes. zooscan publishes Species=solmundella bitentaculata under it. Those images claim a species from a folder that names a life stage.
028643083f05	rank_inflation	ERROR	annelida	pzt:000045;pzt:000060	annelida;poeobius	7	rank_inflation_defect	Six datasets publish Phylum=annelida; uvp6net publishes Genus=poeobius. A phylum-level folder name published as a genus -- four ranks of precision the label never had.
840e9e2cbdb6	rank_inflation	ERROR	dinophyceae	pzt:001062;pzt:001090	dinophyceae;gonyaulacales	6	rank_inflation_defect	Five datasets publish Class=dinophyceae; flowcamnet publishes Order=gonyaulacales. Gonyaulacales is within Dinophyceae, so this is over-specification by one rank, not a contradiction.
6ad526d90972	rank_inflation	ERROR	filament	pzt:000647;pzt:000015	cyanophyceae;filament	3	rank_inflation_defect	`filament` is a morphology, and global_uvp5 and uvp6net publish it with no rank cell populated at all. zoolake publishes Class=cyanophyceae under the same folder name -- a real taxon assigned to a shape bucket. Filamentous morphology is not exclusive to cyanobacteria.
c6b00c6e94b7	rank_inflation	ERROR	foraminifera	pzt:000831;pzt:000834	foraminifera;globigerinidae	9	rank_inflation_defect	Eight datasets publish Phylum=foraminifera; zooscan publishes Family=globigerinidae. Globigerinidae is within Foraminifera, so this is over-specification by three ranks.
6fae3cfbcfdc	rank_inflation	ERROR	harpacticoida	pzt:000237;pzt:000232	euterpina;harpacticoida	8	mislabel_defect	The case that motivated this check, and CODE_REVIEW finding 1.6. Five datasets publish Order=harpacticoida (aphia 1102); tara_pacific_hsn, tara_pacific_manta and zooscan publish Genus=euterpina (aphia 115348). Euterpina is a harpacticoid, so the lineages do not contradict -- which is exactly why every vertical authority check passes on both sides. The three rows still publish a genus for a folder that names an order.
b6d1288658d3	rank_inflation	ERROR	nauplii	pzt:000062;pzt:000152	arthropoda;copepoda	2	rank_inflation_defect	`nauplii` is a larval stage shared across crustaceans. flowcamnet publishes Phylum=arthropoda, global_uvp5 publishes Class=copepoda. Copepoda is within Arthropoda, so no contradiction -- but the two datasets' images are not interchangeable at the class level.
5f24a36e4560	rank_inflation	ERROR	ornithocercus	pzt:001081;pzt:001083	ornithocercus;ornithocercus magnificus	4	rank_inflation_defect	Three datasets publish Genus=ornithocercus; flowcamnet publishes Species=ornithocercus magnificus. A genus folder published as one of its species.
b46e560d92dc	rank_inflation	ERROR	other_living	pzt:000238;pzt:000024	monstrilloida;other	5	rank_inflation_defect	`other_living` is an explicit catch-all: four datasets publish it with no rank cell populated. zooscan publishes Order=monstrilloida under it. A residual bucket cannot be a taxon, so those images assert a copepod order the folder never claimed.
79c2d1f90fba	rank_inflation	ERROR	penilia	pzt:000097;pzt:000098	penilia;penilia avirostris	3	rank_inflation_defect	Two datasets publish Genus=penilia; zooscan publishes Species=penilia avirostris. Penilia avirostris is the only widely reported species of the genus, which makes the inflation defensible -- but it is still the source label being read as more specific than it is.
50e6bd5edce8	rank_inflation	ERROR	trachymedusae	pzt:000398;pzt:000396	botrynema;trachymedusae	3	rank_inflation_defect	Two datasets publish Order=trachymedusae; uvp6net publishes Genus=botrynema. Botrynema is within Trachymedusae, so over-specification by two ranks.
ac84b590998f	rank_inflation	ERROR	unknown	pzt:000679;pzt:000042	thecofilosea;unknown	2	rank_inflation_defect	`unknown` is the most explicit non-taxonomic bucket in the table: zoolake publishes it with no rank cell populated, which is the only defensible reading. global_uvp5 publishes Class=thecofilosea under it. Whatever those images are, the folder name asserts that nobody knew.
43dd1797431e	label_disagreement	WARN	darkrods	pzt:000024;pzt:000039	other;shape	2	bucket_naming	Neither row populates any rank cell, so no image is given a taxon it does not have. flowcamnet calls the bucket `shape`, global_uvp5 calls it `other`. A curation inconsistency in the non-taxonomic vocabulary, reported at WARN and not a taxonomy defect.
289227701332	label_disagreement	WARN	fiber_detritus	pzt:000008;pzt:000014	detritus;fiber	2	bucket_naming	Neither row populates any rank cell. planktoscope calls the bucket `detritus`, zoocamnet calls it `fiber`. `fiber` is the more specific of the two and both are non-taxonomic, so this is vocabulary drift rather than a mislabel.
